Player,Team,BYE,POS,Age,Key,FO ID,Risk,Fpts
Marshawn Lynch,SEA,9,RB,29,Marshawn Lynch|SEA|RB,LynchMar07,Green,233
Eddie Lacy,GB,7,RB,25,Eddie Lacy|GB|RB,LacyEdd13,Green,229
Le'Veon Bell,PIT,11,RB,23,Le'Veon Bell|PIT|RB,BellLev13,Yellow,218
Jamaal Charles,KC,9,RB,29,Jamaal Charles|KC|RB,CharlesJam08,Green,217
Dez Bryant,DAL,6,WR,27,Dez Bryant|DAL|WR,BryantDez10,Green,216
C.J. Anderson,DEN,7,RB,24,C.J. Anderson|DEN|RB,AndersonC.J13,Yellow,211
Antonio Brown,PIT,11,WR,27,Antonio Brown|PIT|WR,BrownAnt10,Green,211
Adrian Peterson,MIN,5,RB,30,Adrian Peterson|MIN|RB,PetersonAdr07,Red,205
Matt Forte,CHI,7,RB,30,Matt Forte|CHI|RB,ForteMat08,Green,204
Jeremy Hill,CIN,7,RB,23,Jeremy Hill|CIN|RB,HillJer14,Green,203
Aaron Rodgers,GB,7,QB,32,Aaron Rodgers|GB|QB,RodgersAar05,Green,375
Demaryius Thomas,DEN,7,WR,28,Demaryius Thomas|DEN|WR,ThomasDem10,Yellow,204
Andrew Luck,IND,10,QB,26,Andrew Luck|IND|QB,LuckAnd12,Green,373
DeMarco Murray,PHI,8,RB,27,DeMarco Murray|PHI|RB,MurrayDeM11,Red,198
Calvin Johnson,DET,9,WR,30,Calvin Johnson|DET|WR,JohnsonCal07,Red,198
Rob Gronkowski,NE,4,TE,26,Rob Gronkowski|NE|TE,GronkowskiRob10,Yellow,165
Julio Jones,ATL,10,WR,26,Julio Jones|ATL|WR,JonesJul11,Green,192
Odell Beckham,NYG,11,WR,23,Odell Beckham|NYG|WR,BeckhamOde14,Green,191
LeSean McCoy,BUF,8,RB,27,LeSean McCoy|BUF|RB,McCoyLeS09,Green,185
Jordy Nelson,GB,7,WR,30,Jordy Nelson|GB|WR,NelsonJor08,Green,183
Alshon Jeffery,CHI,7,WR,25,Alshon Jeffery|CHI|WR,JefferyAls12,Green,183
Justin Forsett,BAL,9,RB,30,Justin Forsett|BAL|RB,ForsettJus08,Yellow,179
Lamar Miller,MIA,5,RB,24,Lamar Miller|MIA|RB,MillerLam12,Green,179
Randall Cobb,GB,7,WR,25,Randall Cobb|GB|WR,CobbRan11,Green,175
A.J. Green,CIN,7,WR,27,A.J. Green|CIN|WR,GreenA.J11,Green,171
DeAndre Hopkins,HOU,9,WR,23,DeAndre Hopkins|HOU|WR,HopkinsDea13,Green,167
T.Y. Hilton,IND,10,WR,26,T.Y. Hilton|IND|WR,HiltonT.Y12,Green,166
Melvin Gordon,SD,10,RB,22,Melvin Gordon|SD|RB,GordonMel15,Green,162
Emmanuel Sanders,DEN,7,WR,28,Emmanuel Sanders|DEN|WR,SandersEmm10,Green,164
Alfred Morris,WAS,8,RB,27,Alfred Morris|WAS|RB,MorrisAlf12,Yellow,161
Jimmy Graham,SEA,9,TE,29,Jimmy Graham|SEA|TE,GrahamJim10,Yellow,133
Mike Evans,TB,6,WR,22,Mike Evans|TB|WR,EvansMik14,Red,161
Greg Olsen,CAR,5,TE,30,Greg Olsen|CAR|TE,OlsenGre07,Green,126
Drew Brees,NO,11,QB,36,Drew Brees|NO|QB,BreesDre01,Yellow,324
Russell Wilson,SEA,9,QB,27,Russell Wilson|SEA|QB,WilsonRus12,Green,323
Mark Ingram,NO,11,RB,26,Mark Ingram|NO|RB,IngramMar11,Green,150
Kelvin Benjamin,CAR,5,WR,24,Kelvin Benjamin|CAR|WR,BenjaminKel14,Yellow,152
Frank Gore,IND,10,RB,32,Frank Gore|IND|RB,GoreFra05,Red,147
Peyton Manning,DEN,7,QB,39,Peyton Manning|DEN|QB,ManningPey98,Yellow,312
Joseph Randle,DAL,6,RB,24,Joseph Randle|DAL|RB,RandleJos13,Red,139
Travis Kelce,KC,9,TE,26,Travis Kelce|KC|TE,KelceTra13,Green,113
Brandin Cooks,NO,11,WR,22,Brandin Cooks|NO|WR,CooksBra14,Green,140
DeSean Jackson,WAS,8,WR,29,DeSean Jackson|WAS|WR,JacksonDeS08,Green,140
Cam Newton,CAR,5,QB,26,Cam Newton|CAR|QB,NewtonCam11,Yellow,309
Jordan Matthews,PHI,8,WR,23,Jordan Matthews|PHI|WR,MatthewsJor14,Yellow,139
Jonathan Stewart,CAR,5,RB,28,Jonathan Stewart|CAR|RB,StewartJon08,Yellow,136
Carlos Hyde,SF,10,RB,24,Carlos Hyde|SF|RB,HydeCar14,Green,136
Rashad Jennings,NYG,11,RB,30,Rashad Jennings|NYG|RB,JenningsRas09,Yellow,136
Sammy Watkins,BUF,8,WR,22,Sammy Watkins|BUF|WR,WatkinsSam14,Yellow,138
Golden Tate,DET,9,WR,27,Golden Tate|DET|WR,TateGol10,Green,137
Todd Gurley,STL,6,RB,21,Todd Gurley|STL|RB,GurleyTod15,Red,134
Matt Ryan,ATL,10,QB,30,Matt Ryan|ATL|QB,RyanMat08,Green,306
Tony Romo,DAL,6,QB,35,Tony Romo|DAL|QB,RomoTon03,Green,306
Devonta Freeman,ATL,10,RB,23,Devonta Freeman|ATL|RB,FreemanDev14,Yellow,133
LeGarrette Blount,NE,4,RB,29,LeGarrette Blount|NE|RB,BlountLeG10,Yellow,133
Ben Roethlisberger,PIT,11,QB,33,Ben Roethlisberger|PIT|QB,RoethlisbergerBen04,Yellow,305
Andre Ellington,ARI,9,RB,26,Andre Ellington|ARI|RB,EllingtonAnd13,Yellow,132
Matthew Stafford,DET,9,QB,27,Matthew Stafford|DET|QB,StaffordMat09,Green,303
Julian Edelman,NE,4,WR,29,Julian Edelman|NE|WR,EdelmanJul09,Green,132
Martellus Bennett,CHI,7,TE,28,Martellus Bennett|CHI|TE,BennettMar08,Green,103
Jason Witten,DAL,6,TE,33,Jason Witten|DAL|TE,WittenJas03,Yellow,102
Amari Cooper,OAK,6,WR,21,Amari Cooper|OAK|WR,CooperAma15,Red,130
Pierre Garcon,WAS,8,WR,29,Pierre Garcon|WAS|WR,GarconPie08,Yellow,130
Jordan Cameron,MIA,5,TE,27,Jordan Cameron|MIA|TE,CameronJor11,Red,100
Anquan Boldin,SF,10,WR,35,Anquan Boldin|SF|WR,BoldinAnq03,Yellow,128
Julius Thomas,JAC,8,TE,27,Julius Thomas|JAC|TE,ThomasJul11,Red,99
Mike Wallace,MIN,5,WR,29,Mike Wallace|MIN|WR,WallaceMik09,Yellow,127
Roddy White,ATL,10,WR,34,Roddy White|ATL|WR,WhiteRod05,Yellow,126
Stephen Gostkowski,NE,4,K,31,Stephen Gostkowski|NE|K,GostkowskiSte06,Green,150
T.J. Yeldon,JAC,8,RB,22,T.J. Yeldon|JAC|RB,YeldonT.J15,Yellow,131
Latavius Murray,OAK,6,RB,24,Latavius Murray|OAK|RB,MurrayLat13,Yellow,131
Vincent Jackson,TB,6,WR,32,Vincent Jackson|TB|WR,JacksonVin05,Yellow,125
Jeremy Maclin,KC,9,WR,27,Jeremy Maclin|KC|WR,MaclinJer09,Green,125
Bishop Sankey,TEN,4,RB,23,Bishop Sankey|TEN|RB,SankeyBis14,Green,129
Jared Cook,STL,6,TE,28,Jared Cook|STL|TE,CookJar09,Green,95
Delanie Walker,TEN,4,TE,31,Delanie Walker|TEN|TE,WalkerDel06,Yellow,94
Keenan Allen,SD,10,WR,23,Keenan Allen|SD|WR,AllenKee13,Green,122
Jarvis Landry,MIA,5,WR,23,Jarvis Landry|MIA|WR,LandryJar14,Green,122
Andre Johnson,IND,10,WR,34,Andre Johnson|IND|WR,JohnsonAnd03,Green,122
Eric Decker,NYJ,5,WR,28,Eric Decker|NYJ|WR,DeckerEri10,Green,122
Joique Bell,DET,9,RB,29,Joique Bell|DET|RB,BellJoi10,Yellow,122
Brandon Marshall,NYJ,5,WR,31,Brandon Marshall|NYJ|WR,MarshallBra06,Red,121
Coby Fleener,IND,10,TE,27,Coby Fleener|IND|TE,FleenerCob12,Green,92
Tevin Coleman,ATL,10,RB,22,Tevin Coleman|ATL|RB,ColemanTev15,Yellow,120
Kendall Wright,TEN,4,WR,26,Kendall Wright|TEN|WR,WrightKen12,Green,119
Ryan Tannehill,MIA,5,QB,27,Ryan Tannehill|MIA|QB,TannehillRya12,Yellow,288
Colin Kaepernick,SF,10,QB,28,Colin Kaepernick|SF|QB,KaepernickCol11,Green,288
John Brown,ARI,9,WR,25,John Brown|ARI|WR,BrownJoh14,Red,118
Michael Floyd,ARI,9,WR,26,Michael Floyd|ARI|WR,FloydMic12,Red,118
Isaiah Crowell,CLE,11,RB,22,Isaiah Crowell|CLE|RB,CrowellIsa14,Green,115
Chris Ivory,NYJ,5,RB,27,Chris Ivory|NYJ|RB,IvoryChr10,Yellow,115
Zach Ertz,PHI,8,TE,25,Zach Ertz|PHI|TE,ErtzZac13,Yellow,89
Blair Walsh,MIN,5,K,25,Blair Walsh|MIN|K,WalshBla12,Green,142
Steve Smith,BAL,9,WR,36,Steve Smith|BAL|WR,SmithSte01,Yellow,117
C.J. Spiller,NO,11,RB,28,C.J. Spiller|NO|RB,SpillerC.J10,Red,113
Seahawks D,SEA,9,D,--,Seahawks D|SEA|D,Seahawks D,Yellow,109
Adam Vinatieri,IND,10,K,43,Adam Vinatieri|IND|K,VinatieriAda96,Green,141
Brandon LaFell,NE,4,WR,29,Brandon LaFell|NE|WR,LaFellBra10,Yellow,116
Ameer Abdullah,DET,9,RB,22,Ameer Abdullah|DET|RB,AbdullahAme15,Yellow,112
Owen Daniels,DEN,7,TE,33,Owen Daniels|DEN|TE,DanielsOwe06,Green,87
Philip Rivers,SD,10,QB,34,Philip Rivers|SD|QB,RiversPhi04,Yellow,285
Eli Manning,NYG,11,QB,34,Eli Manning|NYG|QB,ManningEli04,Yellow,285
Marques Colston,NO,11,WR,32,Marques Colston|NO|WR,ColstonMar06,Green,115
Bills D,BUF,8,D,--,Bills D|BUF|D,Bills D,Yellow,107
Matt Bryant,ATL,10,K,40,Matt Bryant|ATL|K,BryantMat02,Green,139
Eric Ebron,DET,9,TE,22,Eric Ebron|DET|TE,EbronEri14,Yellow,85
Austin Seferian-Jenkins,TB,6,TE,23,Austin Seferian-Jenkins|TB|TE,Seferian-JenkinsAus14,Yellow,85
Mason Crosby,GB,7,K,31,Mason Crosby|GB|K,CrosbyMas07,Yellow,138
Duke Johnson,CLE,11,RB,22,Duke Johnson|CLE|RB,JohnsonDuk15,Green,106
Eagles D,PHI,8,D,--,Eagles D|PHI|D,Eagles D,Green,105
Chiefs D,KC,9,D,--,Chiefs D|KC|D,Chiefs D,Yellow,105
Broncos D,DEN,7,D,--,Broncos D|DEN|D,Broncos D,Yellow,105
Tom Brady,NE,4,QB,38,Tom Brady|NE|QB,BradyTom00,Red,282
Mike Nugent,CIN,7,K,33,Mike Nugent|CIN|K,NugentMik05,Yellow,137
Martavis Bryant,PIT,11,WR,24,Martavis Bryant|PIT|WR,BryantMar14,Red,112
Arian Foster,HOU,9,RB,29,Arian Foster|HOU|RB,FosterAri09,Red,104
Patriots D,NE,4,D,--,Patriots D|NE|D,Patriots D,Yellow,104
Allen Robinson,JAC,8,WR,22,Allen Robinson|JAC|WR,RobinsonAll14,Yellow,111
James White,NE,4,RB,23,James White|NE|RB,WhiteJam14,Yellow,101
Greg Zuerlein,STL,6,K,28,Greg Zuerlein|STL|K,ZuerleinGre12,Yellow,135
Justin Tucker,BAL,9,K,26,Justin Tucker|BAL|K,TuckerJus12,Green,135
Torrey Smith,SF,10,WR,26,Torrey Smith|SF|WR,SmithTor11,Yellow,110
Rams D,STL,6,D,--,Rams D|STL|D,Rams D,Yellow,102
Giovani Bernard,CIN,7,RB,24,Giovani Bernard|CIN|RB,BernardGio13,Green,99
Josh Hill,NO,11,TE,25,Josh Hill|NO|TE,HillJos13,Red,81
Steven Hauschka,SEA,9,K,30,Steven Hauschka|SEA|K,HauschkaSte08,Green,134
Davante Adams,GB,7,WR,23,Davante Adams|GB|WR,AdamsDav14,Red,109
Larry Fitzgerald,ARI,9,WR,32,Larry Fitzgerald|ARI|WR,FitzgeraldLar04,Yellow,109
Knile Davis,KC,9,RB,24,Knile Davis|KC|RB,DavisKni13,Green,97
Heath Miller,PIT,11,TE,33,Heath Miller|PIT|TE,MillerHea05,Green,80
Kyle Rudolph,MIN,5,TE,26,Kyle Rudolph|MIN|TE,RudolphKyl11,Red,80
Sebastian Janikowski,OAK,6,K,37,Sebastian Janikowski|OAK|K,JanikowskiSeb00,Yellow,133
Terrance Williams,DAL,6,WR,26,Terrance Williams|DAL|WR,WilliamsTer13,Green,108
Victor Cruz,NYG,11,WR,29,Victor Cruz|NYG|WR,CruzVic10,Red,108
Texans D,HOU,9,D,--,Texans D|HOU|D,Texans D,Green,100
Andre Williams,NYG,11,RB,23,Andre Williams|NYG|RB,WilliamsAnd14,Green,95
Danny Woodhead,SD,10,RB,30,Danny Woodhead|SD|RB,WoodheadDan08,Red,95
DeAngelo Williams,PIT,11,RB,32,DeAngelo Williams|PIT|RB,WilliamsDeA06,Red,95
Jordan Reed,WAS,8,TE,25,Jordan Reed|WAS|TE,ReedJor13,Yellow,79
Cardinals D,ARI,9,D,--,Cardinals D|ARI|D,Cardinals D,Green,99
Packers D,GB,7,D,--,Packers D|GB|D,Packers D,Yellow,99
Ravens D,BAL,9,D,--,Ravens D|BAL|D,Ravens D,Red,99
Charles Sims,TB,6,RB,25,Charles Sims|TB|RB,SimsCha14,Yellow,93
Tyler Eifert,CIN,7,TE,25,Tyler Eifert|CIN|TE,EifertTyl13,Yellow,78
Connor Barth,DEN,7,K,29,Connor Barth|DEN|K,BarthCon08,Red,131
Josh Brown,NYG,11,K,36,Josh Brown|NYG|K,BrownJos03,Green,131
Randy Bullock,HOU,9,K,26,Randy Bullock|HOU|K,BullockRan12,Red,131
Doug Baldwin,SEA,9,WR,27,Doug Baldwin|SEA|WR,BaldwinDou11,Green,106
Breshad Perriman,BAL,9,WR,22,Breshad Perriman|BAL|WR,PerrimanBre15,Red,106
Dolphins D,MIA,5,D,--,Dolphins D|MIA|D,Dolphins D,Yellow,98
Tre Mason,STL,6,RB,22,Tre Mason|STL|RB,MasonTre14,Blue,92
Darren McFadden,DAL,6,RB,28,Darren McFadden|DAL|RB,McFaddenDar08,Yellow,92
Doug Martin,TB,6,RB,26,Doug Martin|TB|RB,MartinDou12,Green,89
Jace Amaro,NYJ,5,TE,23,Jace Amaro|NYJ|TE,AmaroJac14,Yellow,76
Alfred Blue,HOU,9,RB,24,Alfred Blue|HOU|RB,BlueAlf14,Yellow,87
Robert Griffin,WAS,8,QB,25,Robert Griffin|WAS|QB,GriffinRob12,Red,273
Reggie Bush,SF,10,RB,30,Reggie Bush|SF|RB,BushReg06,Green,86
Mychal Rivera,OAK,6,TE,25,Mychal Rivera|OAK|TE,RiveraMyc13,Yellow,74
Dwayne Allen,IND,10,TE,25,Dwayne Allen|IND|TE,AllenDwa12,Green,74
Andy Dalton,CIN,7,QB,28,Andy Dalton|CIN|QB,DaltonAnd11,Green,272
Darren Sproles,PHI,8,RB,32,Darren Sproles|PHI|RB,SprolesDar05,Green,84
Roy Helu,OAK,6,RB,27,Roy Helu|OAK|RB,HeluRoy11,Green,83
Antonio Gates,SD,10,TE,35,Antonio Gates|SD|TE,GatesAnt03,Red,73
Charles Clay,BUF,8,TE,26,Charles Clay|BUF|TE,ClayCha11,Red,73
Jay Cutler,CHI,7,QB,32,Jay Cutler|CHI|QB,CutlerJay06,Yellow,271
Carson Palmer,ARI,9,QB,36,Carson Palmer|ARI|QB,PalmerCar03,Green,271
Kenny Stills,MIA,5,WR,23,Kenny Stills|MIA|WR,StillsKen13,Green,101
Marcus Mariota,TEN,4,QB,22,Marcus Mariota|TEN|QB,MariotaMar15,Red,270
Chris Polk,HOU,9,RB,26,Chris Polk|HOU|RB,PolkChr12,Red,80
Vernon Davis,SF,10,TE,31,Vernon Davis|SF|TE,DavisVer06,Red,71
David Johnson,ARI,9,RB,24,David Johnson|ARI|RB,JohnsonDav15,Yellow,77
Teddy Bridgewater,MIN,5,QB,23,Teddy Bridgewater|MIN|QB,BridgewaterTed14,Yellow,268
Brian Quick,STL,6,WR,26,Brian Quick|STL|WR,QuickBri12,Red,98
Maxx Williams,BAL,9,TE,21,Maxx Williams|BAL|TE,WilliamsMax15,Red,69
David Cobb,TEN,4,RB,22,David Cobb|TEN|RB,CobbDav15,Yellow,74
Shane Vereen,NYG,11,RB,26,Shane Vereen|NYG|RB,VereenSha11,Green,74
Ryan Mathews,PHI,8,RB,28,Ryan Mathews|PHI|RB,MathewsRya10,Green,73
James Starks,GB,7,RB,29,James Starks|GB|RB,StarksJam10,Green,72
Rob Housler,CLE,11,TE,27,Rob Housler|CLE|TE,HouslerRob11,Green,67
Bilal Powell,NYJ,5,RB,27,Bilal Powell|NYJ|RB,PowellBil11,Green,70
Lance Dunbar,DAL,6,RB,25,Lance Dunbar|DAL|RB,DunbarLan12,Green,69
Alex Smith,KC,9,QB,31,Alex Smith|KC|QB,SmithAle05-QB,Green,264
Nelson Agholor,PHI,8,WR,22,Nelson Agholor|PHI|WR,AgholorNel15,Red,94
Dwayne Bowe,CLE,11,WR,31,Dwayne Bowe|CLE|WR,BoweDwa07,Green,94
Denard Robinson,JAC,8,RB,25,Denard Robinson|JAC|RB,RobinsonDen13,Green,68
Dan Herron,IND,10,RB,26,Dan Herron|IND|RB,HerronDan12,Yellow,68
Benny Cunningham,STL,6,RB,25,Benny Cunningham|STL|RB,CunninghamBen13,Blue,67
Mike Tolbert,CAR,5,RB,30,Mike Tolbert|CAR|RB,TolbertMik08,Red,67
Larry Donnell,NYG,11,TE,27,Larry Donnell|NYG|TE,DonnellLar11,Yellow,65
Joe Flacco,BAL,9,QB,30,Joe Flacco|BAL|QB,FlaccoJoe08,Yellow,263
Lorenzo Taliaferro,BAL,9,RB,23,Lorenzo Taliaferro|BAL|RB,TaliaferroLor14,Yellow,65
Cowboys D,DAL,6,D,--,Cowboys D|DAL|D,Cowboys D,Green,97
Jets D,NYJ,5,D,--,Jets D|NYJ|D,Jets D,Red,97
Charles Johnson,MIN,5,WR,26,Charles Johnson|MIN|WR,JohnsonCha13,Yellow,92
Sam Bradford,PHI,8,QB,28,Sam Bradford|PHI|QB,BradfordSam10,Red,261
Donte Moncrief,IND,10,WR,22,Donte Moncrief|IND|WR,MoncriefDon14,Yellow,91
Josh Harris,PIT,11,RB,24,Josh Harris|PIT|RB,HarrisJos14,Green,62
Matt Prater,DET,9,K,31,Matt Prater|DET|K,PraterMat07,Green,129
Panthers D,CAR,5,D,--,Panthers D|CAR|D,Panthers D,Green,96
Ronnie Hillman,DEN,7,RB,24,Ronnie Hillman|DEN|RB,HillmanRon12,Green,59
Kenny Britt,STL,6,WR,27,Kenny Britt|STL|WR,BrittKen09,Green,89
Dan Bailey,DAL,6,K,27,Dan Bailey|DAL|K,BaileyDan11,Yellow,128
Lions D,DET,9,D,--,Lions D|DET|D,Lions D,Red,95
Eddie Royal,CHI,7,WR,29,Eddie Royal|CHI|WR,RoyalEdd08,Green,88
Cody Parkey,PHI,8,K,23,Cody Parkey|PHI|K,ParkeyCod14,Red,127
49ers D,SF,10,D,--,49ers D|SF|D,49ers D,Yellow,94
Bucs D,TB,6,D,--,Bucs D|TB|D,Bucs D,Green,94
Vikings D,MIN,5,D,--,Vikings D|MIN|D,Vikings D,Red,94
Malcom Floyd,SD,10,WR,34,Malcom Floyd|SD|WR,FloydMal04,Yellow,86
Ladarius Green,SD,10,TE,24,Ladarius Green|SD|TE,GreenLad12,Yellow,57
Fred Jackson,BUF,8,RB,34,Fred Jackson|BUF|RB,JacksonFre07,Green,51
Derek Carr,OAK,6,QB,24,Derek Carr|OAK|QB,CarrDer14,Green,255
Andrew Hawkins,CLE,11,WR,29,Andrew Hawkins|CLE|WR,HawkinsAnd08,Yellow,85
Steve Johnson,SD,10,WR,29,Steve Johnson|SD|WR,JohnsonSte08,Red,85
Robert Turbin,SEA,9,RB,26,Robert Turbin|SEA|RB,TurbinRob12,Green,50
Montee Ball,DEN,7,RB,25,Montee Ball|DEN|RB,BallMon13,Green,49
Jerick McKinnon,MIN,5,RB,23,Jerick McKinnon|MIN|RB,McKinnonJer14,Blue,49
Bengals D,CIN,7,D,--,Bengals D|CIN|D,Bengals D,Yellow,93
Falcons D,ATL,10,D,--,Falcons D|ATL|D,Falcons D,Yellow,93
Richard Rodgers,GB,7,TE,23,Richard Rodgers|GB|TE,RodgersRic14,Yellow,55
Jonathan Grimes,HOU,9,RB,26,Jonathan Grimes|HOU|RB,GrimesJon12,Green,48
Damien Williams,MIA,5,RB,23,Damien Williams|MIA|RB,WilliamsDam14,Green,48
Rueben Randle,NYG,11,WR,24,Rueben Randle|NYG|WR,RandleRue12,Green,83
Trent Richardson,OAK,6,RB,24,Trent Richardson|OAK|RB,RichardsonTre12,Green,45
Terrance West,CLE,11,RB,24,Terrance West|CLE|RB,WestTer14,Blue,45
Benjamin Watson,NO,11,TE,35,Benjamin Watson|NO|TE,WatsonBen04,Yellow,53
Cameron Artis-Payne,CAR,5,RB,23,Cameron Artis-Payne|CAR|RB,Artis-PayneCam15,Red,44
Jonas Gray,NE,4,RB,25,Jonas Gray|NE|RB,GrayJon12,Green,44
Branden Oliver,SD,10,RB,24,Branden Oliver|SD|RB,OliverBra14,Blue,43
Dexter McCluster,TEN,4,RB,27,Dexter McCluster|TEN|RB,McClusterDex10,Green,43
Michael Crabtree,OAK,6,WR,28,Michael Crabtree|OAK|WR,CrabtreeMic09,Green,81
Allen Hurns,JAC,8,WR,24,Allen Hurns|JAC|WR,HurnsAll14,Yellow,81
Garrett Graham,HOU,9,TE,29,Garrett Graham|HOU|TE,GrahamGar10,Yellow,52
Scott Chandler,NE,4,TE,30,Scott Chandler|NE|TE,ChandlerSco07,Yellow,52
Theo Riddick,DET,9,RB,24,Theo Riddick|DET|RB,RiddickThe13,Green,41
Nick Folk,NYJ,5,K,31,Nick Folk|NYJ|K,FolkNic07,Green,124
Giants D,NYG,11,D,--,Giants D|NYG|D,Giants D,Red,91
Phillip Dorsett,IND,10,WR,22,Phillip Dorsett|IND|WR,DorsettPhi15,Yellow,80
Luke Willson,SEA,9,TE,25,Luke Willson|SEA|TE,WillsonLuk13,Green,51
Donald Brown,SD,10,RB,28,Donald Brown|SD|RB,BrownDon09,Green,40
Khiry Robinson,NO,11,RB,26,Khiry Robinson|NO|RB,RobinsonKhi13,Green,39
Titans D,TEN,4,D,--,Titans D|TEN|D,Titans D,Yellow,90
Dorial Green-Beckham,TEN,4,WR,22,Dorial Green-Beckham|TEN|WR,Green-BeckhamDor15,Yellow,78
Bobby Rainey,TB,6,RB,28,Bobby Rainey|TB|RB,RaineyBob12,Green,36
Kendall Hunter,SF,10,RB,27,Kendall Hunter|SF|RB,HunterKen11,Green,35
Jacquizz Rodgers,CHI,7,RB,25,Jacquizz Rodgers|CHI|RB,RodgersJac11,Green,35
Marvin Jones,CIN,7,WR,25,Marvin Jones|CIN|WR,JonesMar12-WR,Green,77
Mohamed Sanu,CIN,7,WR,26,Mohamed Sanu|CIN|WR,SanuMoh12,Green,77
Harry Douglas,TEN,4,WR,31,Harry Douglas|TEN|WR,DouglasHar08,Green,77
Antone Smith,ATL,10,RB,30,Antone Smith|ATL|RB,SmithAnt09,Green,34
Zac Stacy,NYJ,5,RB,24,Zac Stacy|NYJ|RB,StacyZac13,Blue,34
Stevan Ridley,NYJ,5,RB,26,Stevan Ridley|NYJ|RB,RidleySte11,Red,33
Matt Jones,WAS,8,RB,22,Matt Jones|WAS|RB,JonesMat15,Blue,33
Caleb Sturgis,MIA,5,K,26,Caleb Sturgis|MIA|K,SturgisCal13,Red,122
Browns D,CLE,11,D,--,Browns D|CLE|D,Browns D,Green,89
Steelers D,PIT,11,D,--,Steelers D|PIT|D,Steelers D,Yellow,89
Marqise Lee,JAC,8,WR,24,Marqise Lee|JAC|WR,LeeMar14,Yellow,76
Jay Ajayi,MIA,5,RB,22,Jay Ajayi|MIA|RB,AjayiJay15,Yellow,32
Robert Woods,BUF,8,WR,23,Robert Woods|BUF|WR,WoodsRob13,Green,75
Rod Streater,OAK,6,WR,27,Rod Streater|OAK|WR,StreaterRod12,Green,75
Markus Wheaton,PIT,11,WR,24,Markus Wheaton|PIT|WR,WheatonMar13,Green,75
Ka'Deem Carey,CHI,7,RB,23,Ka'Deem Carey|CHI|RB,CareyKa'14,Green,30
Silas Redd,WAS,8,RB,23,Silas Redd|WAS|RB,ReddSil14,Green,29
Toby Gerhart,JAC,8,RB,28,Toby Gerhart|JAC|RB,GerhartTob10,Green,29
Colts D,IND,10,D,--,Colts D|IND|D,Colts D,Yellow,88
Jaguars D,JAC,8,D,--,Jaguars D|JAC|D,Jaguars D,Yellow,88
Percy Harvin,BUF,8,WR,27,Percy Harvin|BUF|WR,HarvinPer09,Green,74
Jacob Tamme,ATL,10,TE,30,Jacob Tamme|ATL|TE,TammeJac08,Red,45
Travaris Cadet,NE,4,RB,26,Travaris Cadet|NE|RB,CadetTra12,Red,28
Marcel Reece,OAK,6,RB,30,Marcel Reece|OAK|RB,ReeceMar08,Red,27
Vick Ballard,IND,10,RB,25,Vick Ballard|IND|RB,BallardVic12,Red,27
Christine Michael,SEA,9,RB,25,Christine Michael|SEA|RB,MichaelChr13,Green,26
Juwan Thompson,DEN,7,RB,23,Juwan Thompson|DEN|RB,ThompsonJuw14,Green,25
Mike Davis,SF,10,RB,22,Mike Davis|SF|RB,DavisMik15,Blue,25
John Kuhn,GB,7,RB,33,John Kuhn|GB|RB,KuhnJoh06,Yellow,25
Graham Gano,CAR,5,K,28,Graham Gano|CAR|K,GanoGra09,Yellow,120
Saints D,NO,11,D,--,Saints D|NO|D,Saints D,Red,87
Redskins D,WAS,8,D,--,Redskins D|WAS|D,Redskins D,Yellow,87
Jordan Todman,CAR,5,RB,25,Jordan Todman|CAR|RB,TodmanJor11,Green,24
Brandon Bolden,NE,4,RB,25,Brandon Bolden|NE|RB,BoldenBra12,Green,24
Karlos Williams,BUF,8,RB,22,Karlos Williams|BUF|RB,WilliamsKar15,Green,24
Marcus Murphy,NO,11,RB,24,Marcus Murphy|NO|RB,MurphyMar15,Green,24
Javorius Allen,BAL,9,RB,24,Javorius Allen|BAL|RB,AllenJav15,Green,23
Matt Asiata,MIN,5,RB,28,Matt Asiata|MIN|RB,AsiataMat11,Green,23
Marlon Brown,BAL,9,WR,24,Marlon Brown|BAL|WR,BrownMar13,Yellow,71
Kenny Hilliard,HOU,9,RB,24,Kenny Hilliard|HOU|RB,HilliardKen15,Blue,22
Fozzy Whittaker,CAR,5,RB,26,Fozzy Whittaker|CAR|RB,WhittakerFoz12,Green,21
Blake Bortles,JAC,8,QB,24,Blake Bortles|JAC|QB,BortlesBla14,Red,240
Nick Foles,STL,6,QB,26,Nick Foles|STL|QB,FolesNic12,Green,240
Phil Dawson,SF,10,K,40,Phil Dawson|SF|K,DawsonPhi99,Yellow,119
Chandler Catanzaro,ARI,9,K,24,Chandler Catanzaro|ARI|K,CatanzaroCha14,Yellow,119
Stepfan Taylor,ARI,9,RB,24,Stepfan Taylor|ARI|RB,TaylorSte13,Green,20
Brent Celek,PHI,8,TE,30,Brent Celek|PHI|TE,CelekBre07,Yellow,40
Marion Grice,ARI,9,RB,24,Marion Grice|ARI|RB,GriceMar14,Green,18
Josh Robinson,IND,10,RB,23,Josh Robinson|IND|RB,RobinsonJos15,Green,18
George Winn,DET,9,RB,25,George Winn|DET|RB,WinnGeo13,Green,17
Anthony Dixon,BUF,8,RB,28,Anthony Dixon|BUF|RB,DixonAnt10,Red,15
Kerwynn Williams,ARI,9,RB,24,Kerwynn Williams|ARI|RB,WilliamsKer13,Green,15
